Field,Units,Notes
Top 10% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 5% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 1% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 0.5% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 0.1% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 0.01% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 10-5% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 5-1% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 1-0.5% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 0.5-0.1% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 0.1-0.01% income share,%,Estimates excluding capital gains. Fractiles defined by total income excluding capital gains.
Top 10% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 5% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 1% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 0.5% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 0.1% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 0.01% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 10-5% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 5-1% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 1-0.5% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 0.5-0.1% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
Top 0.1-0.01% income share-including capital gains,%,Estimates including capital gains. Fractiles defined by total income including capital gains.
"Top 10% income composition-Wages, salaries and pensions",%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 10% income composition-Dividends,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 10% income composition-Interest Income,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 10% income composition-Rents,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 10% income composition-Entrepreneurial income,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
"Top 5% income composition-Wages, salaries and pensions",%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 5% income composition-Dividends,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 5% income composition-Interest Income,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
Top 5% income composition-Rents,%,The sum of all sources add up to 100%. Fractiles defined by total income excluding capital gains.
